,text,intent
1018,where can i get shawarma in this area,places near me
1019,what is my location,tell me about
1020,Please be quiet,goodbye
1021,send email to <name>,send email
1022,what time is it today,asking time
1023,capture photo of <name>,click photo
1024,tell me about today,tell me about
1025,turn off speaker,volume control
1026,play shape of you on youtube today,play on youtube
1027,good bye,goodbye
1028,What are your functionalities?,what can you do
1029,tell me a joke about getting a first,tell me joke
1030,take screenshot of google,take screenshot
1031,what is the name of that song,play on youtube
1032,Where can I find something nearby?,places near me
1033,today,asking date
1034,who is singing the song i am listening to right now,play on youtube
1035,download youtube video of <name>,download youtube video
1036,send email to dipesh,send email
1037,Quiet,goodbye
1038,i need to send an email to michael,send email
1039,It is Adam,"greet and hello hi kind of things, general check in"
1040,Quiet,goodbye
1041,what would you call this kind of music that we're listening to,play on youtube
1042,turn_down speakers,volume control
1043,volume control mute,volume control
1044,send email to <name>,send email
1045,hey there,"greet and hello hi kind of things, general check in"
1046,what song do i play most,play on youtube
1047,play games of c,play games
1048,Hi there,"greet and hello hi kind of things, general check in"
1049,tell me when i get new emails from principal lowry,send email
1050,let's play a game of trivia,play games
1051,is there a national holiday on fifth december,asking time
1052,"Thanks, bye",goodbye
1053,tell me about today,tell me about
1054,what do you think was the best decade,tell me about
1055,what music do i like,play on youtube
1056,give me the latest on paul ryan,tell me news
1057,find me the smallest coffee shop in new orleans,places near me
1058,play for me the game star wars,play games
1059,click photo,click photo
1060,What can you help me with?,what can you do
1061,Can you tell me the time?,asking time
1062,what do you mean.,tell me about
1063,what are the best italian restaurants in los angeles,places near me
1064,hello,"greet and hello hi kind of things, general check in"
1065,show shops around second street,places near me
1066,play games of xxd,play games
1067,tell me about my job,tell me about
1068,Stop talking,goodbye
1069,can you play my favorite music,play on youtube
1070,click selfie of,click photo
1071,tell me a fun joke,tell me joke
1072,please check if i got any emails from mom,send email
1073,why do some people still think the earth is flat,tell me about
1074,tell me about my business,tell me about
1075,hey,"greet and hello hi kind of things, general check in"
1076,is there a groomer in town for cats only,tell me about
1077,Do you know what time it is?,asking time
1078,covid confirmed cases of,covid cases
1079,see you later,goodbye
1080,time,asking time
1081,download youtube video of kishore kumar,download youtube video
1082,Hola how are you?,"greet and hello hi kind of things, general check in"
1083,Where can I find something nearby?,places near me
1084,send whatsapp message,send whatsapp message
1085,open website github.com,open website
1086,open website wikipedia.com,open website
1087,play on youtube,play on youtube
1088,tell me you,tell me about
1089,hey olly have you heard any funny jokes lately,tell me joke
1090,i want you to mute,volume control
1091,Hola how are you?,"greet and hello hi kind of things, general check in"
1092,do not make any noise until morning alarm,volume control
1093,volume control unmute,volume control
1094,daily cases,covid cases
1095,tell me a joke about asia,tell me joke
1096,send email,send email
1097,tell a joke,tell me joke
1098,send happy new year to john@gmail dot com,send email
1099,play games,play games
1100,i'd love to hear any song that i've given five stars by serge gainsbourg,play on youtube
1101,whats the best place to eat near here,places near me
1102,time,asking time
1103,tell me about yours,tell me about
1104,time,asking time
1105,Can you control the volume?,volume control
1106,Do you know what time it is?,asking time
1107,play music in library,play on youtube
1108,turn down the sound,volume control
1109,open website github.com,open website
1110,please change the volume low of the speakers,volume control
1111,Hola how are you?,"greet and hello hi kind of things, general check in"
1112,hey there,"greet and hello hi kind of things, general check in"
1113,let's play never have i ever,play games
1114,Hi there,"greet and hello hi kind of things, general check in"
1115,how is weather on such and such day,asking weather
1116,today,asking date
1117,make me laugh,tell me joke
1118,Hola how are you?,"greet and hello hi kind of things, general check in"
1119,what can you do,what can you do
1120,tell me about my day,tell me about
1121,Hi,"greet and hello hi kind of things, general check in"
1122,hey,"greet and hello hi kind of things, general check in"
1123,What are the things you can do?,what can you do
1124,tell me a joke about the sun,tell me joke
1125,play bad guy on youtube,play on youtube
1126,what is the weather like day before tomorrow,asking weather
1127,give the list of theaters in the vicinity,places near me
1128,does mr t have a family,tell me about
1129,can you tell me the cheapest place to get ground beef,places near me
1130,send email to <name> about <name>,send email
1131,send an email to with the subject as test and no content,send email
1132,what's the latest joke,tell me joke
1133,tomorrow,asking date
1134,what did the clinic say about my exams,send email
1135,places near me to eat,places near me
1136,is the weather bad in new york right now,asking weather
1137,what time is it now,asking time
1138,what can you do for me today,what can you do
1139,I am so bored,i am bored
1140,download youtube video of <name>,download youtube video
1141,can you turn down the volume please and tell me what is the title of this song,play on youtube
1142,speak softer please,volume control
1143,send whatsapp message to 9898982565,send whatsapp message
1144,what's good news,tell me news
1145,i feel like playing chess can you play that,play games
1146,what is the day,asking date
1147,whats up,"greet and hello hi kind of things, general check in"
1148,which new emails were received,send email
1149,open website stackoverflow.com,open website
1150,play cricket,play games
1151,places near me to eat today,places near me
1152,open website wikipedia.com,open website
1153,play despacito on youtube today,play on youtube
1154,what is the date,asking date
1155,It is Adam,"greet and hello hi kind of things, general check in"
1156,play bad guy on youtube,play on youtube
1157,download youtube video of,download youtube video
1158,places near me to eat today with my friends,places near me
1159,capture selfie,click photo
1160,Do you know what time it is?,asking time
1161,play games of c,play games
1162,mute volume now,volume control
1163,"s1, explain more on your response.",tell me about
1164,daily cases of india,covid cases
1165,play minecraft,play games
1166,take screenshot of <name>,take screenshot
1167,screen shot of <name>,take screenshot
1168,twenty second april day,asking time
1169,how many jokes do you know,tell me joke
1170,I am Bella,"greet and hello hi kind of things, general check in"
1171,send email to dipesh,send email
1172,mute for fifteen minutes,volume control
1173,read me the front page of the new york times,tell me news
1174,what can you do,what can you do
1175,play on youtube,play on youtube
1176,covid confirmed cases of,covid cases
1177,open website stackoverflow.com,open website
1178,sunny in oslo,asking weather
1179,tell me what time it is right now,asking time
1180,hello,"greet and hello hi kind of things, general check in"
1181,Can you turn the volume up?,volume control
1182,tell me a joke about aliens,tell me joke
1183,play on youtube,play on youtube
1184,am i gonna need rain boots,asking weather
1185,capture photo of,click photo
1186,What are some places near me?,places near me
1187,please further rephrase it.,tell me about
1188,what time is it day before tomorrow,asking time
1189,What can you assist me with?,what can you do
1190,hey i am having a bad day today what can i watch to cheer me up,tell me about
1191,i want to hear a funny joke,tell me joke
1192,download youtube video,download youtube video
1193,Tell me a joke,tell me joke
1194,show me the time,asking time
1195,Do you know what time it is?,asking time
1196,howdy,"greet and hello hi kind of things, general check in"
1197,Hi,"greet and hello hi kind of things, general check in"
1198,tell me about my life,tell me about
1199,"Thank you, bye",goodbye
1200,send email about <name>,send email
1201,open website google.com,open website
1202,what can you do,what can you do
1203,play bad guy on youtube,play on youtube
1204,tell me news day after tomorrow,tell me news
1205,what is the time,asking time
1206,I am Bella,"greet and hello hi kind of things, general check in"
1207,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
1208,hi how are you,"greet and hello hi kind of things, general check in"
1209,get me the latest news of world,tell me news
1210,download youtube video of <name> today,download youtube video
1211,volume control increase by 10,volume control
1212,Quiet,goodbye
1213,download youtube video hd of,download youtube video
1214,do you know any good jokes,tell me joke
1215,"Thank you, goodbye",goodbye
1216,let's play tic tac toe,play games
1217,good afternoon,goodbye
1218,can you turn that down,volume control
1219,Hi there,"greet and hello hi kind of things, general check in"
1220,What can you help me with?,what can you do
1221,what day of the week does christmas fall on this year,asking time
1222,volume control increase by 10,volume control
1223,i would like to know the best rating pubs in the local area,places near me
1224,what time is it today,asking time
1225,play games of gcc,play games
1226,Quiet,goodbye
1227,tell me a fun joke,tell me joke
1228,Can you control the volume?,volume control
1229,send email to <name> about <name>,send email
1230,what is the funniest joke ever,tell me joke
1231,mute yourself until i say otherwise,volume control
1232,play for me the game harry potter and the chamber of secrets,play games
1233,send a test email to,send email
1234,take screenshot,take screenshot
1235,daily cases of india,covid cases
1236,please be silent until i tell you not to be,volume control
1237,will trump visit russia anytime soon,tell me news
1238,where is a great pub,places near me
1239,open website google.com,open website
1240,send email to dipesh,send email
1241,open website wikipedia.com,open website
1242,nearest restaurants available at this time,places near me
1243,"Thank you, goodbye",goodbye
1244,Enough talking,goodbye
1245,good day,goodbye
1246,i am bored today what can i do,i am bored
1247,send email to xyz@gmail.com,send email
1248,lower all volume on speakers please,volume control
1249,open website linkedin.com,open website
1250,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1251,the weather is sunny today,tell me about
1252,send whatsapp message about <name>,send whatsapp message
1253,compose email,send email
1254,play minecraft,play games
1255,send email to dipesh,send email
1256,look up news articles about trump,tell me news
1257,open website stackoverflow.com,open website
1258,what music genre do i play most,play on youtube
1259,I am not entertained,i am bored
1260,please tell me some international news,tell me news
1261,send email to cat that i will accept job offer,send email
1262,play real racing three game,play games
1263,good day,goodbye
1264,covid cases of india past 48 hours,covid cases
1265,play games with me,play games
1266,Enough talking,goodbye
1267,explain quantum physics to me in language i understand,tell me about
1268,what time is it,asking time
1269,please begin clash of clans,play games
1270,play <song> on youtube,play on youtube
1271,It is Adam,"greet and hello hi kind of things, general check in"
1272,Hola how are you?,"greet and hello hi kind of things, general check in"
1273,what is the weather like day after tomorrow,asking weather
1274,What can you help me with?,what can you do
1275,tell me a dad joke,tell me joke
1276,"Thank you, goodbye",goodbye
1277,hey,"greet and hello hi kind of things, general check in"
1278,Please be quiet,goodbye
1279,I am feeling bored,i am bored
1280,play kishore kumar on youtube,play on youtube
1281,what day is it day after tomorrow,asking date
1282,play baseball with me,play games
1283,Can you increase the volume?,volume control
1284,places near me to eat today with my friends,places near me
1285,tell me pizza restaurants close by,places near me
1286,download youtube video of kishore kumar,download youtube video
1287,Give me a joke,tell me joke
1288,what's good news,tell me news
1289,day after tomorrow,asking date
1290,i want to play a trivia game,play games
1291,play music from workout playlist,play on youtube
1292,tell me about the current weather,asking weather
1293,Do you know what time it is?,asking time
1294,off the speakers,volume control
1295,play candy crush,play games
1296,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
1297,do you know any joke,tell me joke
1298,decrease speaker volume,volume control
1299,take screenshot of google,take screenshot
1300,i am bored,i am bored
1301,send whatsapp message to dipesh,send whatsapp message
1302,What are some nearby locations?,places near me
1303,screen shot of <name>,take screenshot
1304,covid cases,covid cases
1305,what is the weather tomorrow,asking weather
1306,have i received any mail in the last hour,send email
1307,give me some bowie,play on youtube
1308,tell me a joke about the moon,tell me joke
1309,capture photo of,click photo
1310,what time is it today,asking time
1311,tell me you,tell me about
1312,take screenshot,take screenshot
1313,tell me a joke about chickens,tell me joke
1314,play game,play games
1315,Quiet,goodbye
1316,What services do you offer?,what can you do
1317,what's good news today,tell me news
1318,please decrease the volume of music player,volume control
1319,can you tell me a nice joke,tell me joke
1320,play minecraft,play games
1321,what is a good place for cruise,places near me
1322,What are the top places nearby?,places near me
1323,i am bored today what can i do,i am bored
1324,hey,"greet and hello hi kind of things, general check in"
1325,what time is it day before tomorrow,asking time
1326,play me all jazz music,play on youtube
1327,see you later,goodbye
1328,I have good news,tell me news
1329,what will be the highest temperature in coming week,asking weather
1330,no speaking please,volume control
1331,what time is it,asking time
1332,play games of xyz 32 bit,play games
1333,what's going on with economy,tell me news
1334,what is the day of the week,asking date
1335,Do you know what time it is?,asking time
1336,send whatsapp message,send whatsapp message
1337,tell me my music likes,play on youtube
1338,hi how are you,"greet and hello hi kind of things, general check in"
1339,This is Adam,"greet and hello hi kind of things, general check in"
1340,hello there,"greet and hello hi kind of things, general check in"
1341,play games of xyz 32 bit,play games
1342,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
1343,play bad guy on youtube,play on youtube
1344,let me know of any incoming emails for the last hour please,send email
1345,download youtube video of <name>,download youtube video
1346,"Thank you, goodbye",goodbye
1347,screen shot of <name>,take screenshot
1348,Do you know what time it is?,asking time
1349,what's good news,tell me news
1350,what's going around in the world these days,tell me news
1351,take screenshot of google,take screenshot
1352,Good thanks! This is Adam,"greet and hello hi kind of things, general check in"
1353,recommend pub in eighth and monte diablo,places near me
1354,play on youtube,play on youtube
1355,what time is it tomorrow,asking time
1356,daily cases,covid cases
1357,download youtube video of minecraft,download youtube video
1358,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
1359,open some cools jokes,tell me joke
1360,How about a joke,tell me joke
1361,mute for one hour,volume control
1362,have i got any new email from my company,send email
1363,will it be raining on thursday,asking weather
1364,"Thank you, bye",goodbye
1365,download youtube video hd,download youtube video
1366,tell me you,tell me about
1367,"Thank you, bye",goodbye
1368,Do you know any jokes,tell me joke
1369,i am bored today what can i do,i am bored
1370,quieter,volume control
1371,how many days are in this month,asking time
1372,what time is it day before tomorrow,asking time
1373,Quiet,goodbye
1374,Hope you are doing well?,"greet and hello hi kind of things, general check in"
1375,play the barney theme song,play on youtube
1376,play bad guy on youtube,play on youtube
1377,capture selfie,click photo
1378,tell me where i can go shopping in this area,places near me
1379,covid cases of india past 48 hours,covid cases
1380,download youtube video hd of,download youtube video
1381,take screenshot,take screenshot
1382,send whatsapp message to 9898982565,send whatsapp message
1383,send whatsapp message about,send whatsapp message
1384,tell me about my world,tell me about
1385,Quiet,goodbye
1386,please tell me the latest news about politics,tell me news
1387,Quiet,goodbye
1388,open website wikipedia.com,open website
1389,play on youtube,play on youtube
1390,capture selfie,click photo
1391,download youtube video of minecraft,download youtube video
1392,covid cases,covid cases
1393,make me laugh,tell me joke
1394,What are some nearby locations?,places near me
1395,what's going on at the capitol,tell me news
1396,will you please rephrase me further on that.,tell me about
1397,i need a funny joke to tell sam,tell me joke
1398,what is the weather like now today,asking weather
1399,capture photo of,click photo
1400,take screenshot,take screenshot
1401,send whatsapp message,send whatsapp message
1402,what is my email from steve about,send email
1403,Hello,"greet and hello hi kind of things, general check in"
1404,play back the last message,send email
1405,let me hear a joke,tell me joke
1406,please speak quieter to me,volume control
1407,Can you tell me the time?,asking time
1408,tell me good news,tell me news
1409,play let me love you on youtube,play on youtube
1410,Give me a joke,tell me joke
1411,open website stackoverflow.com,open website
1412,play bad guy on youtube,play on youtube
1413,take screenshot,take screenshot
1414,today,asking date
1415,I need cheering up,tell me joke
1416,volume control mute,volume control
1417,How about a joke,tell me joke
1418,What are the top places nearby?,places near me
1419,daily cases,covid cases
1420,what day is it today,asking time
1421,let's make some popcorn and watch an old movie together,tell me about
1422,My user is Adam,"greet and hello hi kind of things, general check in"
1423,Can you tell me the time?,asking time
1424,Give me a joke,tell me joke
1425,who sang the song that is currently playing,play on youtube
1426,the twenty second is on what day of the week,asking time
1427,What are the top places nearby?,places near me
1428,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
1429,What can you help me with?,what can you do
1430,tell me what was the temperature in our city at twelve pm,asking weather
1431,today i couldn't find my phone,tell me about
1432,what is the date and month today,asking time
1433,Hola how are you?,"greet and hello hi kind of things, general check in"
1434,what time in las vegas,asking time
1435,send whatsapp message,send whatsapp message
1436,"Thank you, goodbye",goodbye
1437,hi how are you,"greet and hello hi kind of things, general check in"
1438,Hya,"greet and hello hi kind of things, general check in"
1439,shall we play a game,play games
1440,This is Adam,"greet and hello hi kind of things, general check in"
1441,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1442,is this song ed sheeran,play on youtube
1443,create a playing teams and play with them,play games
1444,what is the day,asking date
1445,what is the weather today,asking weather
1446,What actions can you perform?,what can you do
1447,what's my favorite music at the moment,play on youtube
1448,open website stackoverflow.com,open website
1449,What are the top places nearby?,places near me
1450,Is it going to snow,asking weather
1451,I am feeling unoccupied,i am bored
1452,open website google.com,open website
1453,download youtube video of <name>,download youtube video
1454,How about a joke,tell me joke
1455,volume control increase by 10,volume control
1456,send email to dipesh,send email
1457,send whatsapp message,send whatsapp message
1458,what and how is india's economy at the moment,tell me news
1459,click photo,click photo
1460,open website twitter.com,open website
1461,what is the name of the lead singer in this band,play on youtube
1462,covid cases,covid cases
1463,Hola how are you?,"greet and hello hi kind of things, general check in"
1464,jazz could be choice for me,play on youtube
1465,What are the things you can do?,what can you do
1466,who's that song by,play on youtube
1467,Quiet,goodbye
1468,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1469,how do you like being my assistant,tell me about
1470,what is the weather like now tomorrow,asking weather
1471,tell me news day after tomorrow,tell me news
1472,whats up,"greet and hello hi kind of things, general check in"
1473,check mails,send email
1474,Tell me a joke,tell me joke
1475,how's weather today,asking weather
1476,i am not clear about your words.,tell me about
1477,listen to this song,play on youtube
1478,pause the music,volume control
1479,tell me a joke about getting a first,tell me joke
1480,what's it like outside,asking weather
1481,decrease speaker volume,volume control
1482,covid cases,covid cases
1483,lower the volume of the speakers,volume control
1484,i hate how long the traffic jams get,tell me about
1485,what time is it tomorrow,asking time
1486,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1487,do not speak today,volume control
1488,whats up,"greet and hello hi kind of things, general check in"
1489,send email to dipesh,send email
1490,today,asking date
1491,will you further elaborate me on it please.,tell me about
1492,can you give me the time in new delhi,asking time
1493,send whatsapp message about <name>,send whatsapp message
1494,open website linkedin.com,open website
1495,tell me about my day,tell me about
1496,send email to dipesh,send email
1497,i am bored what can i do today with my friends,i am bored
1498,i am bored what can i do today with my wife,i am bored
1499,what is the time for the eastern time zone,asking time
1500,play games of c,play games
1501,Shut up,goodbye
1502,volume control decrease,volume control
1503,turn down the speakers,volume control
1504,open website stackoverflow.com,open website
1505,take screenshot of,take screenshot
1506,current time please,asking time
1507,"Thank you, bye",goodbye
1508,Tell me a joke,tell me joke
1509,Can you tell me the time?,asking time
1510,time,asking time
1511,check email for otp sent by my bank,send email
1512,what time is it now,asking time
1513,send email to <name>,send email
1514,what is the weather tomorrow,asking weather
1515,Can you tell me the time?,asking time
1516,what time is it today,asking time
1517,Hello,"greet and hello hi kind of things, general check in"
1518,download youtube video of guru randhawa,download youtube video
1519,click selfie,click photo
1520,play despacito on youtube today,play on youtube
1521,i am bored today,i am bored
1522,"Thank you, bye",goodbye
1523,can the latest news be pulled up on the latest weather forecast for the week,tell me news
1524,capture photo,click photo
1525,hey there,"greet and hello hi kind of things, general check in"
1526,are there new emails for me,send email
1527,send whatsapp message about,send whatsapp message
1528,download youtube video of <name> today,download youtube video
1529,please will you elaborate further on last sentence.,tell me about
1530,hi how are you,"greet and hello hi kind of things, general check in"
1531,"Thank you, bye",goodbye
1532,please further elaborate your response.,tell me about
1533,It is Adam,"greet and hello hi kind of things, general check in"
1534,can you please read the my mom sent this morning at ten am,send email
1535,what is the weather like now tomorrow,asking weather
1536,tell me news day after tomorrow,tell me news
1537,"s1, please again elaborate me about your answer.",tell me about
1538,make me laugh,tell me joke
1539,covid cases,covid cases
1540,silent,volume control
1541,i am bored today,i am bored
1542,what is the weather like day after tomorrow,asking weather
1543,tell me news day after tomorrow,tell me news
1544,What can you assist me with?,what can you do
1545,i am bored what can i do today,i am bored
1546,download youtube video,download youtube video
1547,tell me about my family,tell me about
1548,explain me further on what you have said please.,tell me about
1549,send an email to rohit saying i am busy tomorrow,send email
1550,Do you know what time it is?,asking time
1551,daily cases of,covid cases
1552,send whatsapp message,send whatsapp message
1553,what's the time in this time zone,asking time
1554,play on youtube,play on youtube
1555,Is it going to snow,asking weather
1556,open website stackoverflow.com,open website
1557,Can you mute the volume?,volume control
1558,send email about <name>,send email
1559,"Thank you, goodbye",goodbye
1560,Can you tell me the time?,asking time
1561,covid confirmed cases of,covid cases
1562,what's good,tell me news
1563,please turn down the volume,volume control
1564,do i need a light or heavy jacket today,asking weather
1565,covid cases of india past 24 hours,covid cases
1566,tell me a joke about the moon,tell me joke
1567,Thanks good bye,goodbye
1568,what is the current time in california,asking time
1569,i've heard this riff before what song stole this riff it's exactly the same,play on youtube
1570,open website github.com,open website
1571,email james about the softball game james we need to get some refreshments before heading over,send email
1572,please decrease the volume of music player,volume control
1573,Can you tell me the time?,asking time
1574,is it currently raining,asking weather
1575,what time is it day before tomorrow,asking time
1576,download youtube video of kishore kumar,download youtube video
1577,tell me a fun joke,tell me joke
1578,i am bored today,i am bored
1579,Will it rain tomorrow,asking weather
1580,let's play fmod,play games
1581,open website stackoverflow.com,open website
1582,send whatsapp message,send whatsapp message
1583,open website github.com,open website
1584,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
1585,time,asking time
1586,please check this info on geographics for me,tell me about
1587,what pubs are near the metro station,places near me
1588,How about a joke,tell me joke
1589,what's good news,tell me news
1590,who wrote the song that is playing,play on youtube
1591,what time is it today,asking time
1592,please check recent emails from new contact,send email
1593,tell me the name of the song,play on youtube
1594,Hello how are you?,"greet and hello hi kind of things, general check in"
1595,i don't get this.,tell me about
1596,It is Bella,"greet and hello hi kind of things, general check in"
1597,i need a funny joke to tell sam,tell me joke
1598,Do you know any jokes,tell me joke
1599,what will be the weather on monday this week,asking weather
1600,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
1601,Hola how are you?,"greet and hello hi kind of things, general check in"
1602,Good thanks! It is Adam,"greet and hello hi kind of things, general check in"
1603,It is Bella,"greet and hello hi kind of things, general check in"
1604,howdy,"greet and hello hi kind of things, general check in"
1605,download youtube video of,download youtube video
1606,tomorrow,asking date
1607,tell me about my baby,tell me about
1608,turn down the volume,volume control
1609,send mail to mom i am planning vacations with her next week,send email
1610,open website facebook.com,open website
1611,email my mother,send email
1612,Hola how are you?,"greet and hello hi kind of things, general check in"
1613,covid confirmed cases of,covid cases
1614,click selfie of,click photo
1615,hello there,"greet and hello hi kind of things, general check in"
1616,take screenshot,take screenshot
1617,screen shot,take screenshot
1618,tell me news,tell me news
1619,take screenshot,take screenshot
1620,What can you assist me with?,what can you do
1621,will there be snow tomorrow,asking weather
1622,play bad guy on youtube,play on youtube
1623,play anything by cat stevens and i'll be happy,play on youtube
1624,famous person biographies,tell me about
1625,make me laugh,tell me joke
1626,what's playing,play on youtube
1627,what's the good news of stock market,tell me news
1628,take screenshot of <name>,take screenshot
1629,what's good news,tell me news
1630,Tell me a joke,tell me joke
1631,pull up my cnn app and read it to me,tell me news
1632,Please be quiet,goodbye
1633,send whatsapp message about <name>,send whatsapp message
1634,what day of the week is the twenty second march,asking time
1635,What are the top places nearby?,places near me
1636,covid cases,covid cases
1637,today,asking date
1638,tell me about tomorrow,tell me about
1639,please play the song joy to the world,play on youtube
1640,places near me to eat today,places near me
1641,i want to read yahoo news,tell me news
1642,tell me about tomorrow,tell me about
1643,tell me news day after tomorrow,tell me news
1644,send response i will be there,send email
1645,play let me love you on youtube,play on youtube
1646,"s1, again clarify your answers please.",tell me about
1647,Hola how are you?,"greet and hello hi kind of things, general check in"
1648,Can you tell me the time?,asking time
1649,hey there,"greet and hello hi kind of things, general check in"
1650,volume control up,volume control
1651,daily cases of india,covid cases
1652,Hello,"greet and hello hi kind of things, general check in"
1653,My user is Adam,"greet and hello hi kind of things, general check in"
1654,today,asking date
1655,tell me about yours,tell me about
1656,what is the weather for this week,asking weather
1657,is it colder than yesterday,asking weather
1658,screen shot now,take screenshot
1659,send a mail to alex asking about the due payment,send email
1660,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
1661,capture photo of,click photo
1662,send whatsapp message about <name>,send whatsapp message
1663,send email,send email
1664,Can you recommend some places nearby?,places near me
1665,life,tell me about
1666,What are your capabilities?,what can you do
1667,hey do i have any emails from bob about the bulldog,send email
1668,tell me a dad joke,tell me joke
1669,please play songs i've purchased and favorited,play on youtube
1670,what is the day,asking date
1671,see you later,goodbye
1672,lower the volume ten percent,volume control
1673,play bad guy on youtube,play on youtube
1674,tomorrow,asking date
1675,tell me a joke about getting a first,tell me joke
1676,tell me the song that is currently playing,play on youtube
1677,screen shot of <name>,take screenshot
1678,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
1679,play despacito on youtube today,play on youtube
1680,open chess play against me,play games
1681,What can you assist me with?,what can you do
1682,what is the day of the week,asking date
1683,take screenshot of google,take screenshot
1684,Tell me a joke,tell me joke
1685,good bye,goodbye
1686,day after tomorrow,asking date
1687,Tell me a joke,tell me joke
1688,what time is it,asking time
1689,Can you tell me the time?,asking time
1690,Hola how are you?,"greet and hello hi kind of things, general check in"
1691,What services do you offer?,what can you do
1692,recommend me some shops to shopping in angel,places near me
1693,send whatsapp message,send whatsapp message
1694,Give me a joke,tell me joke
1695,day after tomorrow,asking date
1696,i am not clear about your answers.,tell me about
1697,Hello,"greet and hello hi kind of things, general check in"
1698,i want to play a game,play games
1699,screen shot now,take screenshot
1700,tomorrow,asking date
1701,take screenshot of,take screenshot
1702,what is the day,asking date
1703,Time,asking time
1704,"Thanks, bye",goodbye
1705,click selfie of,click photo
1706,what time is it day before tomorrow,asking time
1707,hello there,"greet and hello hi kind of things, general check in"
1708,volume control mute,volume control
1709,do i have any new emails from my dad,send email
1710,open website wikipedia.com,open website
1711,I have some great news for you,tell me news
1712,go silent until three pm,volume control
1713,Tell me a joke,tell me joke
1714,tell me news tomorrow,tell me news
1715,Please be quiet,goodbye
1716,hey there,"greet and hello hi kind of things, general check in"
1717,play golf,play games
1718,can you find me a furniture store near me,places near me
1719,what is today's current date,asking time
1720,what time is it day after tomorrow,asking time
1721,Can you recommend some places nearby?,places near me
1722,today,asking date
1723,can you open the reply inbox,send email
1724,"Thank you, goodbye",goodbye
1725,tell me news tomorrow,tell me news
1726,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
1727,open website linkedin.com,open website
1728,what is happening in the world news,tell me news
1729,do homework for me please,tell me about
1730,Can you turn the volume down?,volume control
1731,make me laugh,tell me joke
1732,screen shot of <name>,take screenshot
1733,open website google.com,open website
1734,play jazz from jennifer's latest album,play on youtube
1735,turn on flappy bird,play games
1736,click photo,click photo
1737,click photo of <name>,click photo
1738,tell me news day after tomorrow,tell me news
1739,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
1740,elaborate me about your answers further.,tell me about
1741,I have some great news for you,tell me news
1742,Can you tell me the time?,asking time
1743,let's play some pong,play games
1744,what am i listening to,play on youtube
1745,you're too loud,volume control
1746,This is Adam,"greet and hello hi kind of things, general check in"
1747,play from favorites song,play on youtube
1748,what is the weather like tomorrow,asking weather
1749,what can you do,what can you do
1750,play me an upbeat song through your speakers,play on youtube
1751,play games,play games
1752,crack a joke,tell me joke
1753,hi how are you,"greet and hello hi kind of things, general check in"
1754,Hello,"greet and hello hi kind of things, general check in"
1755,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
1756,have i gotten any new emails from mary,send email
1757,what's going on in the world,tell me news
1758,tell me about history of british india,tell me about
1759,covid cases,covid cases
1760,"Thanks, bye",goodbye
1761,I am so bored,i am bored
1762,send whatsapp message,send whatsapp message
1763,send email to <name>,send email
1764,screen shot of <name>,take screenshot
1765,send an email to my wife about next week weather,send email
1766,day before tomorrow,asking date
1767,disable music player,volume control
1768,click selfie of,click photo
1769,send whatsapp message,send whatsapp message
1770,can you tell me about expensive sushi restaurants in west philadelphia,places near me
1771,down,volume control
1772,play on youtube,play on youtube
1773,in classic all music are there ever any singers,play on youtube
1774,tell me a dad joke,tell me joke
1775,find my email for date,send email
1776,tell me news day after tomorrow,tell me news
1777,whats up,"greet and hello hi kind of things, general check in"
1778,time,asking time
1779,send whatsapp message,send whatsapp message
1780,download youtube video of,download youtube video
1781,what is the weather like today,asking weather
1782,what's the funniest joke,tell me joke
1783,What can you help me with?,what can you do
1784,date and time,asking time
1785,decrease speaker volume,volume control
1786,what's the temperature,asking weather
1787,what is the day,asking date
1788,tell me you,tell me about
1789,screen shot of <name>,take screenshot
1790,turn down the speakers,volume control
1791,what time is it,asking time
1792,screen shot,take screenshot
1793,i am bored today what can i do,i am bored
1794,play pacman game with me,play games
1795,Tell me a joke,tell me joke
1796,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
1797,please change the volume low of the speakers,volume control
1798,where do people shop for clothes here,places near me
1799,open chess app and begin game,play games
1800,Do you know any jokes,tell me joke
1801,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
1802,who's playing the oboe on this piece,play on youtube
1803,"Thank you, bye",goodbye
1804,play football,play games
1805,what is the forecast for the week,asking weather
1806,i am bored,i am bored
